sensor,x_gt,y_gt,vx_gt,vy_gt,yaw_gt,yawdot_gt,px,py,vx,vy,yaw,yawdot,NIS
L,-3.8839,20.9296,4.5266,-2.1992,-3.5938,-0.4193,-3.9372,21.0137,4.4543,-2.0837,-3.5791,-0.4279,2.8019
R,-3.6588,20.8173,4.4750,-2.2914,-3.6148,-0.4148,-3.7145,20.8776,4.4145,-2.2781,-3.6180,-0.4541,2.4203
L,-3.4362,20.7004,4.4222,-2.3813,-3.6356,-0.4103,-3.4665,20.7293,4.3955,-2.4281,-3.6463,-0.4586,2.5925
R,-3.2164,20.5791,4.3680,-2.4691,-3.6561,-0.4056,-3.2597,20.6151,4.3196,-2.4945,-3.6653,-0.4519,1.3918
L,-2.9992,20.4534,4.3127,-2.5546,-3.6764,-0.4009,-2.9945,20.4983,4.3477,-2.5791,-3.6770,-0.4413,1.2237
R,-2.7849,20.3235,4.2564,-2.6379,-3.6964,-0.3962,-2.7498,20.3852,4.3345,-2.6041,-3.6826,-0.4180,7.4785
L,-2.5734,20.1895,4.1991,-2.7190,-3.7162,-0.3913,-2.5601,20.2390,4.2323,-2.7142,-3.7118,-0.4259,0.4669
R,-2.3648,20.0515,4.1409,-2.7978,-3.7358,-0.3865,-2.3440,20.0978,4.1856,-2.8275,-3.7357,-0.4314,0.7822
L,-2.1591,19.9097,4.0820,-2.8744,-3.7551,-0.3815,-2.1433,19.9100,4.0948,-2.9829,-3.7712,-0.4438,3.0724
R,-1.9564,19.7640,4.0224,-2.9487,-3.7742,-0.3765,-1.9436,19.7389,4.0162,-3.1156,-3.8014,-0.4533,1.2760
L,-1.7567,19.6147,3.9622,-3.0209,-3.7930,-0.3714,-1.7209,19.5766,3.9820,-3.2144,-3.8207,-0.4498,0.3500
R,-1.5600,19.4618,3.9015,-3.0909,-3.8116,-0.3663,-1.5093,19.3953,3.9284,-3.3578,-3.8488,-0.4588,2.6200
L,-1.3663,19.3055,3.8404,-3.1586,-3.8299,-0.3611,-1.3243,19.2431,3.8421,-3.4201,-3.8689,-0.4566,0.6248
R,-1.1757,19.1458,3.7789,-3.2242,-3.8479,-0.3559,-1.1322,19.0612,3.7628,-3.5203,-3.8937,-0.4582,0.5742
L,-0.9882,18.9829,3.7173,-3.2877,-3.8657,-0.3506,-0.9833,18.8829,3.6179,-3.6026,-3.9249,-0.4665,0.6379
R,-0.8038,18.8169,3.6554,-3.3490,-3.8833,-0.3452,-0.7901,18.7240,3.5607,-3.6012,-3.9326,-0.4441,2.6920
L,-0.6225,18.6479,3.5935,-3.4082,-3.9005,-0.3398,-0.6216,18.5810,3.4819,-3.6232,-3.9469,-0.4374,2.6370
R,-0.4443,18.4760,3.5316,-3.4654,-3.9175,-0.3344,-0.4505,18.3966,3.3987,-3.6916,-3.9683,-0.4356,0.2647
L,-0.2692,18.3013,3.4698,-3.5205,-3.9342,-0.3288,-0.3338,18.2126,3.2310,-3.7568,-4.0021,-0.4477,1.2114
R,-0.0971,18.1238,3.4081,-3.5736,-3.9507,-0.3233,-0.1802,18.0245,3.1379,-3.8383,-4.0271,-0.4520,0.6355
L,0.0718,17.9438,3.3467,-3.6247,-3.9669,-0.3177,0.0073,17.8502,3.1139,-3.8845,-4.0367,-0.4397,0.9683
R,0.2377,17.7612,3.2856,-3.6739,-3.9827,-0.3120,0.1818,17.6782,3.0670,-3.8510,-4.0398,-0.4124,4.8194
L,0.4006,17.5762,3.2248,-3.7211,-3.9983,-0.3063,0.3754,17.5000,3.0652,-3.8936,-4.0455,-0.3980,1.0876
R,0.5604,17.3890,3.1644,-3.7666,-4.0136,-0.3005,0.5706,17.3540,3.0754,-3.8260,-4.0353,-0.3618,11.6937
L,0.7172,17.1994,3.1046,-3.8101,-4.0287,-0.2947,0.6775,17.1525,2.9247,-3.8922,-4.0680,-0.3758,0.9720
R,0.8710,17.0078,3.0453,-3.8519,-4.0434,-0.2888,0.8218,16.9640,2.8528,-3.9266,-4.0841,-0.3721,0.1425
L,1.0218,16.8141,2.9867,-3.8919,-4.0578,-0.2829,0.9301,16.7812,2.7267,-3.9565,-4.1090,-0.3785,0.8689
R,1.1698,16.6185,2.9287,-3.9303,-4.0720,-0.2770,1.0703,16.5803,2.6617,-4.0415,-4.1300,-0.3845,1.8848
L,1.3149,16.4209,2.8714,-3.9669,-4.0858,-0.2710,1.1748,16.3643,2.5328,-4.1070,-4.1598,-0.3944,0.5878
R,1.4571,16.2216,2.8149,-4.0020,-4.0994,-0.2650,1.3028,16.1630,2.4589,-4.1449,-4.1770,-0.3915,0.1128
L,1.5965,16.0206,2.7593,-4.0355,-4.1126,-0.2589,1.5273,15.9497,2.5605,-4.2071,-4.1657,-0.3615,4.7002
R,1.7332,15.8179,2.7045,-4.0674,-4.1256,-0.2528,1.6321,15.7506,2.4503,-4.2089,-4.1852,-0.3599,3.3900
L,1.8671,15.6137,2.6507,-4.0978,-4.1382,-0.2466,1.6657,15.5460,2.2210,-4.2339,-4.2293,-0.3852,3.3305
R,1.9984,15.4080,2.5979,-4.1268,-4.1506,-0.2404,1.8036,15.3627,2.1987,-4.2128,-4.2314,-0.3661,5.1572
L,2.1270,15.2009,2.5460,-4.1544,-4.1626,-0.2342,1.9393,15.1501,2.1701,-4.2568,-4.2409,-0.3577,0.3338
R,2.2531,14.9924,2.4952,-4.1807,-4.1743,-0.2279,2.0537,14.9337,2.1056,-4.3257,-4.2594,-0.3613,1.4347
L,2.3767,14.7827,2.4455,-4.2056,-4.1857,-0.2216,2.2226,14.6992,2.1419,-4.3924,-4.2587,-0.3429,2.2327
R,2.4978,14.5718,2.3970,-4.2292,-4.1968,-0.2153,2.3207,14.4715,2.0522,-4.4327,-4.2788,-0.3449,0.8641
L,2.6165,14.3597,2.3496,-4.2516,-4.2075,-0.2089,2.5014,14.2789,2.1289,-4.4320,-4.2646,-0.3154,4.8659
R,2.7329,14.1465,2.3034,-4.2729,-4.2180,-0.2025,2.6225,14.0521,2.0853,-4.4944,-4.2780,-0.3159,2.1756
L,2.8470,13.9322,2.2585,-4.2930,-4.2281,-0.1960,2.7484,13.8259,2.0574,-4.5292,-4.2860,-0.3085,0.2401
R,2.9588,13.7170,2.2148,-4.3120,-4.2379,-0.1896,2.8451,13.5902,1.9792,-4.5614,-4.3030,-0.3085,1.4148
L,3.0685,13.5009,2.1724,-4.3299,-4.2474,-0.1831,2.9045,13.3738,1.8409,-4.5710,-4.3295,-0.3192,0.7603
R,3.1762,13.2839,2.1313,-4.3468,-4.2565,-0.1765,2.9915,13.1783,1.7770,-4.4976,-4.3361,-0.3041,3.7706
L,3.2818,13.0661,2.0915,-4.3628,-4.2653,-0.1700,3.1387,12.9724,1.8210,-4.5040,-4.3282,-0.2825,2.7745
R,3.3854,12.8475,2.0532,-4.3777,-4.2738,-0.1634,3.2583,12.7524,1.8247,-4.4589,-4.3240,-0.2569,5.8638
L,3.4872,12.6282,2.0162,-4.3918,-4.2820,-0.1568,3.3249,12.5960,1.7329,-4.3893,-4.3364,-0.2576,7.1884
R,3.5871,12.4083,1.9806,-4.4050,-4.2899,-0.1501,3.4375,12.3874,1.7298,-4.3802,-4.3363,-0.2432,1.9536
L,3.6853,12.1876,1.9464,-4.4174,-4.2974,-0.1435,3.5666,12.1654,1.7551,-4.4081,-4.3335,-0.2291,0.9310
R,3.7819,11.9664,1.9137,-4.4290,-4.3045,-0.1368,3.6490,11.9565,1.7048,-4.3821,-4.3414,-0.2219,1.1710
L,3.8768,11.7446,1.8824,-4.4398,-4.3114,-0.1301,3.7887,11.7341,1.7561,-4.4091,-4.3334,-0.2039,1.5736
R,3.9702,11.5223,1.8527,-4.4499,-4.3179,-0.1233,3.8691,11.5231,1.6961,-4.4282,-4.3466,-0.2091,1.7186
L,4.0621,11.2996,1.8244,-4.4592,-4.3240,-0.1166,3.9831,11.2626,1.7023,-4.5015,-4.3508,-0.2028,2.2930
R,4.1527,11.0763,1.7976,-4.4679,-4.3299,-0.1098,4.1052,11.0610,1.7367,-4.4590,-4.3410,-0.1801,4.5076
L,4.2420,10.8527,1.7723,-4.4759,-4.3354,-0.1031,4.1731,10.8796,1.6658,-4.4158,-4.3517,-0.1821,2.5329
R,4.3300,10.6287,1.7486,-4.4833,-4.3405,-0.0963,4.2479,10.6662,1.6122,-4.4202,-4.3626,-0.1841,0.4327
L,4.4169,10.4043,1.7264,-4.4901,-4.3453,-0.0895,4.3491,10.4498,1.6103,-4.4308,-4.3638,-0.1767,0.3946
R,4.5027,10.1796,1.7057,-4.4964,-4.3498,-0.0826,4.4504,10.2282,1.6134,-4.4390,-4.3638,-0.1672,0.9723
L,4.5875,9.9546,1.6866,-4.5020,-4.3539,-0.0758,4.5194,10.0055,1.5567,-4.4519,-4.3760,-0.1708,0.0820
R,4.6714,9.7294,1.6691,-4.5072,-4.3577,-0.0689,4.6084,9.7905,1.5348,-4.4715,-4.3817,-0.1708,3.0185
L,4.7545,9.5038,1.6531,-4.5118,-4.3612,-0.0621,4.6728,9.5931,1.4772,-4.4462,-4.3916,-0.1723,0.9224
R,4.8368,9.2781,1.6388,-4.5159,-4.3643,-0.0552,4.7358,9.4231,1.4331,-4.3590,-4.3948,-0.1637,10.8533
L,4.9184,9.0522,1.6260,-4.5195,-4.3670,-0.0483,4.7742,9.1743,1.3393,-4.4073,-4.4174,-0.1766,3.0406
R,4.9995,8.8262,1.6148,-4.5226,-4.3695,-0.0414,4.8594,8.9330,1.3337,-4.4513,-4.4213,-0.1717,2.4293
L,5.0800,8.5999,1.6052,-4.5253,-4.3715,-0.0345,4.9611,8.6813,1.3584,-4.5096,-4.4198,-0.1621,1.3172
R,5.1600,8.3736,1.5972,-4.5276,-4.3733,-0.0276,5.0762,8.4576,1.4329,-4.4769,-4.4026,-0.1301,3.7538
L,5.2397,8.1472,1.5908,-4.5293,-4.3746,-0.0207,5.1640,8.1973,1.4340,-4.5398,-4.4064,-0.1272,1.6012
R,5.3192,7.9207,1.5860,-4.5307,-4.3757,-0.0138,5.2772,7.9612,1.5028,-4.5317,-4.3922,-0.1012,3.2398
L,5.3984,7.6941,1.5828,-4.5316,-4.3764,-0.0069,5.3488,7.7228,1.4746,-4.5555,-4.3993,-0.1030,0.2353
R,5.4775,7.4675,1.5812,-4.5321,-4.3767,0.0000,5.4646,7.4886,1.5475,-4.5489,-4.3845,-0.0786,2.5032
L,5.5565,7.2409,1.5812,-4.5321,-4.3767,0.0069,5.5025,7.2537,1.4597,-4.5601,-4.4026,-0.0913,1.7287
R,5.6356,7.0143,1.5828,-4.5318,-4.3764,0.0138,5.6178,7.0392,1.5627,-4.4850,-4.3771,-0.0486,5.3359
L,5.7149,6.7877,1.5861,-4.5310,-4.3757,0.0207,5.7287,6.8037,1.6108,-4.5094,-4.3693,-0.0394,0.8727
R,5.7943,6.5612,1.5909,-4.5297,-4.3746,0.0276,5.7777,6.5892,1.5341,-4.5063,-4.3843,-0.0547,1.5197
L,5.8740,6.3348,1.5974,-4.5281,-4.3733,0.0345,5.8260,6.3645,1.4732,-4.5047,-4.3963,-0.0629,0.8137
R,5.9541,6.1085,1.6054,-4.5260,-4.3715,0.0414,5.8969,6.1111,1.4571,-4.5490,-4.4024,-0.0649,4.2926
L,6.0346,5.8823,1.6151,-4.5234,-4.3695,0.0483,5.9640,5.8941,1.4329,-4.5369,-4.4065,-0.0656,0.1131
R,6.1156,5.6562,1.6263,-4.5204,-4.3670,0.0552,6.0102,5.6614,1.3485,-4.5713,-4.4255,-0.0875,1.1600
L,6.1972,5.4303,1.6391,-4.5169,-4.3643,0.0621,6.0678,5.4502,1.3131,-4.5484,-4.4313,-0.0887,0.3100
R,6.2795,5.2046,1.6536,-4.5129,-4.3612,0.0689,6.1441,5.2190,1.3186,-4.5562,-4.4307,-0.0822,0.1887
L,6.3626,4.9791,1.6696,-4.5084,-4.3577,0.0758,6.2294,4.9765,1.3330,-4.5887,-4.4297,-0.0778,0.4830
R,6.4465,4.7538,1.6871,-4.5034,-4.3539,0.0826,6.2924,4.7844,1.3080,-4.5369,-4.4317,-0.0766,4.8093
L,6.5313,4.5288,1.7063,-4.4978,-4.3498,0.0895,6.4152,4.4968,1.3871,-4.6490,-4.4224,-0.0656,5.5331
R,6.6171,4.3041,1.7270,-4.4917,-4.3453,0.0963,6.5156,4.2563,1.4685,-4.6434,-4.4061,-0.0365,2.5145
L,6.7040,4.0797,1.7492,-4.4850,-4.3405,0.1031,6.6259,3.9857,1.5233,-4.7132,-4.3998,-0.0299,2.3944
R,6.7920,3.8557,1.7730,-4.4777,-4.3354,0.1098,6.7472,3.7439,1.6443,-4.7043,-4.3761,0.0052,2.8704
L,6.8813,3.6321,1.7983,-4.4698,-4.3299,0.1166,6.7895,3.5435,1.5785,-4.6426,-4.3846,-0.0016,2.6474
R,6.9719,3.4088,1.8252,-4.4612,-4.3240,0.1233,6.8761,3.3185,1.6152,-4.6215,-4.3762,0.0124,0.9581
L,7.0638,3.1861,1.8535,-4.4519,-4.3179,0.1301,6.9865,3.1528,1.6641,-4.5185,-4.3595,0.0273,6.1751
R,7.1572,2.9638,1.8834,-4.4420,-4.3114,0.1368,7.0996,2.9691,1.7698,-4.4301,-4.3323,0.0650,7.3200
L,7.2522,2.7420,1.9147,-4.4313,-4.3045,0.1435,7.1950,2.7570,1.7941,-4.4098,-4.3260,0.0678,0.1680
R,7.3487,2.5208,1.9475,-4.4198,-4.2974,0.1501,7.2971,2.5460,1.8126,-4.3934,-4.3211,0.0654,3.5632
L,7.4469,2.3002,1.9817,-4.4075,-4.2899,0.1568,7.3791,2.3338,1.8132,-4.3747,-4.3195,0.0643,0.1584
R,7.5468,2.0802,2.0173,-4.3944,-4.2820,0.1634,7.4517,2.0856,1.7730,-4.4216,-4.3310,0.0443,3.0213
L,7.6486,1.8609,2.0544,-4.3804,-4.2738,0.1700,7.5479,1.8441,1.7927,-4.4530,-4.3297,0.0427,0.4234
R,7.7522,1.6423,2.0928,-4.3655,-4.2653,0.1765,7.6761,1.6242,1.9046,-4.4417,-4.3073,0.0705,2.9397
L,7.8579,1.4245,2.1327,-4.3496,-4.2565,0.1831,7.8024,1.3221,1.9616,-4.5734,-4.3072,0.0640,6.8121
R,7.9655,1.2075,2.1738,-4.3328,-4.2474,0.1896,7.9235,1.1240,2.0399,-4.5137,-4.2879,0.0848,3.3530
L,8.0752,0.9914,2.2163,-4.3149,-4.2379,0.1960,7.9835,0.8885,1.9928,-4.5216,-4.2973,0.0731,3.0207
R,8.1871,0.7762,2.2601,-4.2960,-4.2281,0.2025,8.0991,0.6633,2.0703,-4.5138,-4.2824,0.0910,1.1932
L,8.3012,0.5620,2.3051,-4.2759,-4.2180,0.2089,8.2254,0.4657,2.1282,-4.4560,-4.2668,0.1016,1.2804
R,8.4175,0.3488,2.3513,-4.2548,-4.2075,0.2153,8.3598,0.2629,2.1991,-4.4104,-4.2498,0.1135,4.6169
L,8.5362,0.1367,2.3988,-4.2324,-4.1968,0.2216,8.4751,0.0966,2.2369,-4.3046,-4.2331,0.1257,2.1667
R,8.6573,-0.0743,2.4474,-4.2088,-4.1857,0.2279,8.6528,-0.1216,2.4573,-4.3025,-4.1935,0.1738,9.2133
L,8.7809,-0.2840,2.4972,-4.1839,-4.1743,0.2342,8.8088,-0.2902,2.5460,-4.1968,-4.1671,0.1913,2.6635
R,8.9070,-0.4925,2.5481,-4.1578,-4.1626,0.2404,8.9613,-0.4502,2.6678,-4.0904,-4.1345,0.2221,8.8629
L,9.0356,-0.6996,2.6000,-4.1302,-4.1506,0.2466,9.1079,-0.6412,2.7316,-4.0363,-4.1174,0.2279,0.2855
R,9.1669,-0.9053,2.6529,-4.1012,-4.1382,0.2528,9.2511,-0.8639,2.7950,-4.0442,-4.1077,0.2271,1.1093
L,9.3008,-1.1095,2.7068,-4.0708,-4.1256,0.2589,9.3475,-1.1242,2.7680,-4.1230,-4.1211,0.2023,4.2252
R,9.4375,-1.3122,2.7617,-4.0389,-4.1126,0.2650,9.5024,-1.3634,2.8860,-4.1661,-4.1065,0.2143,4.2154
L,9.5769,-1.5132,2.8174,-4.0055,-4.0994,0.2710,9.6787,-1.5669,2.9781,-4.1215,-4.0867,0.2225,1.5084
R,9.7191,-1.7125,2.8740,-3.9705,-4.0858,0.2770,9.8131,-1.7385,2.9621,-4.0199,-4.0773,0.2158,3.1959
L,9.8642,-1.9101,2.9313,-3.9338,-4.0720,0.2829,9.9278,-1.9202,2.9578,-3.9623,-4.0711,0.2128,2.6200
R,10.0122,-2.1057,2.9894,-3.8955,-4.0578,0.2888,10.0940,-2.1257,3.0793,-3.9594,-4.0514,0.2287,2.5488
L,10.1630,-2.2994,3.0481,-3.8555,-4.0434,0.2947,10.2425,-2.3215,3.1151,-3.9231,-4.0413,0.2276,0.0730
R,10.3169,-2.4910,3.1075,-3.8137,-4.0287,0.3005,10.3602,-2.4848,3.0518,-3.8199,-4.0383,0.2139,6.4577
L,10.4737,-2.6805,3.1674,-3.7701,-4.0136,0.3063,10.5154,-2.7170,3.0869,-3.8598,-4.0378,0.2028,1.3015
R,10.6335,-2.8678,3.2278,-3.7247,-3.9983,0.3120,10.6524,-2.8955,3.0572,-3.7906,-4.0337,0.1920,1.6285
L,10.7963,-3.0528,3.2887,-3.6774,-3.9827,0.3177,10.7793,-3.0780,3.0557,-3.7555,-4.0294,0.1875,1.3154
R,10.9622,-3.2353,3.3499,-3.6282,-3.9669,0.3233,10.9679,-3.2650,3.2180,-3.7500,-4.0032,0.2122,4.7510
L,11.1311,-3.4154,3.4114,-3.5770,-3.9507,0.3288,11.1332,-3.4409,3.2650,-3.6962,-3.9888,0.2160,0.0639
R,11.3032,-3.5928,3.4732,-3.5239,-3.9342,0.3344,11.3097,-3.6175,3.3619,-3.6605,-3.9695,0.2284,1.8857
L,11.4783,-3.7676,3.5351,-3.4688,-3.9175,0.3398,11.4933,-3.8169,3.4218,-3.6483,-3.9590,0.2268,0.7925
R,11.6565,-3.9395,3.5971,-3.4116,-3.9005,0.3452,11.6737,-4.0085,3.4810,-3.6281,-3.9477,0.2272,0.6934
L,11.8378,-4.1085,3.6590,-3.3523,-3.8833,0.3506,11.8540,-4.1988,3.5280,-3.6042,-3.9377,0.2256,0.1666
R,12.0223,-4.2745,3.7209,-3.2909,-3.8657,0.3559,12.0553,-4.3848,3.6221,-3.5773,-3.9208,0.2324,2.1816
L,12.2098,-4.4374,3.7827,-3.2274,-3.8479,0.3611,12.2528,-4.5322,3.6928,-3.4761,-3.8968,0.2448,0.5100
R,12.4003,-4.5971,3.8442,-3.1618,-3.8299,0.3663,12.4562,-4.6987,3.8130,-3.4358,-3.8750,0.2581,2.8590
L,12.5940,-4.7534,3.9054,-3.0940,-3.8116,0.3714,12.6602,-4.8091,3.8851,-3.2749,-3.8420,0.2787,1.8674
R,12.7907,-4.9063,3.9662,-3.0239,-3.7930,0.3765,12.8582,-4.9636,3.9189,-3.1977,-3.8260,0.2796,0.6603
L,12.9904,-5.0556,4.0264,-2.9517,-3.7742,0.3815,13.0643,-5.1259,3.9762,-3.1461,-3.8110,0.2804,0.1811
R,13.1931,-5.2012,4.0861,-2.8773,-3.7551,0.3865,13.2352,-5.2776,3.9706,-3.0896,-3.8028,0.2746,4.5250
L,13.3988,-5.3431,4.1451,-2.8006,-3.7358,0.3913,13.4038,-5.4583,3.9630,-3.0943,-3.8045,0.2596,1.0333
R,13.6074,-5.4811,4.2033,-2.7217,-3.7162,0.3962,13.6437,-5.6031,4.1469,-3.0503,-3.7758,0.2795,7.2645
L,13.8189,-5.6151,4.2607,-2.6405,-3.6964,0.4009,13.8298,-5.7430,4.1584,-2.9805,-3.7635,0.2784,1.1029
R,14.0332,-5.7450,4.3171,-2.5571,-3.6764,0.4056,14.0663,-5.8921,4.2789,-2.9325,-3.7424,0.2870,2.1269
L,14.2504,-5.8706,4.3724,-2.4715,-3.6561,0.4103,14.3043,-6.0118,4.3583,-2.8156,-3.7152,0.2996,0.5837
R,14.4703,-5.9920,4.4265,-2.3837,-3.6356,0.4148,14.5281,-6.1555,4.4192,-2.7621,-3.7002,0.3000,0.1312
L,14.6928,-6.1089,4.4795,-2.2936,-3.6148,0.4193,14.7672,-6.2316,4.4924,-2.5785,-3.6627,0.3226,1.5890
R,14.9180,-6.2212,4.5310,-2.2014,-3.5938,0.4238,14.9885,-6.3557,4.5500,-2.5123,-3.6461,0.3238,1.8714
L,15.1457,-6.3288,4.5811,-2.1069,-3.5727,0.4282,15.1693,-6.4298,4.5262,-2.3680,-3.6236,0.3312,7.7076
R,15.3758,-6.4317,4.6297,-2.0103,-3.5513,0.4325,15.4075,-6.5434,4.5774,-2.2812,-3.6039,0.3341,0.9638
L,15.6084,-6.5297,4.6765,-1.9116,-3.5296,0.4367,15.6422,-6.6339,4.6235,-2.1633,-3.5792,0.3421,0.2032
R,15.8432,-6.6228,4.7217,-1.8108,-3.5078,0.4409,15.8856,-6.7484,4.7281,-2.1183,-3.5628,0.3419,2.3609
L,16.0803,-6.7107,4.7650,-1.7079,-3.4858,0.4450,16.1332,-6.8802,4.7763,-2.0846,-3.5531,0.3342,0.9716
R,16.3195,-6.7934,4.8063,-1.6030,-3.4635,0.4490,16.3354,-6.9635,4.7107,-1.9627,-3.5364,0.3345,5.1237
L,16.5607,-6.8709,4.8456,-1.4961,-3.4411,0.4529,16.5770,-7.0654,4.7502,-1.8923,-3.5207,0.3333,0.1034
R,16.8038,-6.9429,4.8827,-1.3872,-3.4184,0.4568,16.8008,-7.1617,4.7586,-1.8243,-3.5077,0.3299,1.2266
L,17.0487,-7.0095,4.9176,-1.2765,-3.3956,0.4606,17.0456,-7.2163,4.7991,-1.6796,-3.4783,0.3427,0.5278
R,17.2953,-7.0705,4.9502,-1.1640,-3.3725,0.4644,17.2693,-7.2790,4.7809,-1.5583,-3.4567,0.3476,2.0627
L,17.5434,-7.1258,4.9803,-1.0497,-3.3493,0.4680,17.5441,-7.2524,4.8554,-1.2742,-3.3982,0.3880,4.1483
R,17.7930,-7.1754,5.0079,-0.9337,-3.3259,0.4716,17.8180,-7.3008,4.9784,-1.1666,-3.3718,0.3935,7.4961
L,18.0440,-7.2191,5.0328,-0.8160,-3.3023,0.4752,18.0795,-7.2953,5.0133,-0.9489,-3.3286,0.4166,1.5697
R,18.2961,-7.2569,5.0551,-0.6968,-3.2786,0.4786,18.3159,-7.3016,4.9797,-0.7675,-3.2945,0.4310,5.9741
L,18.5492,-7.2887,5.0746,-0.5762,-3.2547,0.4820,18.5640,-7.3199,4.9919,-0.6285,-3.2668,0.4371,0.1837
R,18.8033,-7.3145,5.0912,-0.4541,-3.2306,0.4853,18.8457,-7.3536,5.0711,-0.5237,-3.2445,0.4362,4.7666
L,19.0581,-7.3341,5.1048,-0.3307,-3.2063,0.4885,19.0760,-7.3621,5.0483,-0.3949,-3.2197,0.4395,1.3525
R,19.3135,-7.3475,5.1154,-0.2061,-3.1819,0.4916,19.3135,-7.3942,5.0282,-0.3150,-3.2042,0.4338,2.9270
L,19.5694,-7.3547,5.1229,-0.0804,-3.1573,0.4947,19.6423,-7.3347,5.1283,-0.0375,-3.1489,0.4655,7.4156
R,19.8255,-7.3555,5.1273,0.0464,-3.1326,0.4977,19.9143,-7.3412,5.1808,0.0621,-3.1296,0.4595,0.9661
L,20.0818,-7.3500,5.1284,0.1741,-3.1077,0.5006,20.2002,-7.3054,5.2093,0.2494,-3.0938,0.4717,0.9513
R,20.3381,-7.3381,5.1262,0.3026,-3.0826,0.5034,20.4692,-7.3208,5.2822,0.2909,-3.0866,0.4511,4.1304
L,20.5942,-7.3197,5.1206,0.4318,-3.0575,0.5061,20.6800,-7.3320,5.2074,0.3351,-3.0773,0.4390,3.8158
R,20.8499,-7.2949,5.1115,0.5616,-3.0322,0.5088,20.9300,-7.2955,5.1500,0.4896,-3.0468,0.4498,1.0258
L,21.1051,-7.2636,5.0991,0.6919,-3.0067,0.5114,21.1939,-7.2128,5.1375,0.7134,-3.0036,0.4698,1.1851
R,21.3596,-7.2257,5.0831,0.8226,-2.9811,0.5139,21.4617,-7.1779,5.1585,0.8229,-2.9834,0.4645,0.5946
L,21.6132,-7.1813,5.0635,0.9535,-2.9555,0.5163,21.6803,-7.2478,5.1038,0.7131,-3.0028,0.4239,5.0285
R,21.8657,-7.1304,5.0403,1.0846,-2.9296,0.5186,21.9192,-7.1809,4.9799,0.8942,-2.9639,0.4477,6.0943
L,22.1170,-7.0729,5.0135,1.2156,-2.9037,0.5209,22.2276,-7.0364,5.0193,1.2058,-2.9058,0.4814,6.1072
R,22.3669,-7.0089,4.9831,1.3466,-2.8777,0.5231,22.4416,-6.9575,4.8568,1.3667,-2.8673,0.5037,6.1568
L,22.6151,-6.9383,4.9489,1.4773,-2.8515,0.5252,22.6419,-6.8677,4.7615,1.5087,-2.8347,0.5113,3.6098
R,22.8616,-6.8612,4.9111,1.6076,-2.8252,0.5272,22.8946,-6.8239,4.8020,1.5571,-2.8280,0.4876,4.2503
L,23.1060,-6.7776,4.8696,1.7373,-2.7989,0.5291,23.1129,-6.8259,4.7530,1.5159,-2.8328,0.4600,2.6420
R,23.3483,-6.6875,4.8243,1.8665,-2.7724,0.5310,23.3206,-6.7468,4.6528,1.6247,-2.8056,0.4670,4.0972
L,23.5883,-6.5910,4.7754,1.9948,-2.7459,0.5327,23.5528,-6.6640,4.6149,1.7309,-2.7828,0.4665,0.0022
R,23.8257,-6.4881,4.7227,2.1223,-2.7192,0.5344,23.8086,-6.5983,4.6561,1.7911,-2.7744,0.4473,2.8692
L,24.0604,-6.3788,4.6663,2.2487,-2.6925,0.5360,24.0186,-6.4880,4.5821,1.9233,-2.7442,0.4549,1.1537
R,24.2922,-6.2633,4.6063,2.3739,-2.6657,0.5375,24.2388,-6.3790,4.4976,2.0498,-2.7140,0.4652,0.6115
L,24.5209,-6.1415,4.5426,2.4978,-2.6389,0.5389,24.4891,-6.2277,4.4720,2.2442,-2.6765,0.4784,1.5168
R,24.7463,-6.0136,4.4753,2.6202,-2.6119,0.5403,24.7364,-6.1301,4.5185,2.3097,-2.6691,0.4545,2.7724
L,24.9683,-5.8796,4.4044,2.7411,-2.5849,0.5415,24.9610,-6.0010,4.4620,2.4323,-2.6425,0.4581,0.0500
R,25.1866,-5.7395,4.3300,2.8603,-2.5578,0.5427,25.1732,-5.8663,4.3670,2.5562,-2.6120,0.4683,0.4711
L,25.4011,-5.5936,4.2521,2.9776,-2.5307,0.5438,25.4099,-5.7113,4.3252,2.7069,-2.5824,0.4740,0.7416
R,25.6117,-5.4419,4.1707,3.0929,-2.5035,0.5448,25.5961,-5.5662,4.1858,2.8224,-2.5483,0.4886,2.8079
L,25.8181,-5.2844,4.0860,3.2062,-2.4763,0.5457,25.7673,-5.3158,4.0256,3.1080,-2.4841,0.5260,8.2898
R,26.0202,-5.1213,3.9979,3.3172,-2.4490,0.5465,25.9624,-5.1576,3.9346,3.2127,-2.4569,0.5273,0.0816
L,26.2178,-4.9527,3.9066,3.4259,-2.4217,0.5472,26.1562,-5.0402,3.8660,3.2337,-2.4450,0.5140,0.8535
R,26.4107,-4.7788,3.8121,3.5321,-2.3943,0.5479,26.3496,-4.8520,3.7602,3.3776,-2.4098,0.5252,5.4780
L,26.5989,-4.5996,3.7145,3.6358,-2.3669,0.5484,26.5522,-4.6069,3.6622,3.6091,-2.3635,0.5432,2.4327
R,26.7821,-4.4153,3.6139,3.7368,-2.3395,0.5489,26.7596,-4.4413,3.6628,3.6723,-2.3549,0.5165,2.1952
L,26.9602,-4.2260,3.5104,3.8349,-2.3120,0.5493,26.9121,-4.2911,3.5419,3.6978,-2.3347,0.5119,1.6792
