sensor,x_gt,y_gt,vx_gt,vy_gt,yaw_gt,yawdot_gt,px,py,vx,vy,yaw,yawdot,NIS
L,0.6000,0.6000,5.1999,0.0000,0.0000,0.0069,0.3122,0.3122,0.0000,0.0000,0.0000,0.0000,0.0000
R,0.8600,0.6000,5.1997,0.0018,0.0003,0.0138,0.6214,0.3620,3.4911,0.0000,0.0000,-0.0000,0.8485
L,1.1200,0.6002,5.1994,0.0054,0.0010,0.0207,1.1343,0.4714,7.3001,0.1906,0.0261,0.2411,0.7616
R,1.3800,0.6006,5.1990,0.0108,0.0021,0.0276,1.2656,0.5247,6.2096,1.6257,0.2561,1.6639,1.7260
L,1.6399,0.6013,5.1984,0.0180,0.0035,0.0345,1.6053,0.6231,6.6500,1.9712,0.2882,1.3938,0.2331
R,1.8998,0.6025,5.1977,0.0269,0.0052,0.0414,1.8232,0.5638,5.7926,0.5306,0.0913,0.3034,1.3209
L,2.1597,0.6041,5.1968,0.0377,0.0073,0.0483,2.1341,0.6133,5.8349,0.7541,0.1285,0.3919,0.2865
R,2.4195,0.6063,5.1957,0.0502,0.0097,0.0552,2.3297,0.6468,5.2363,0.9664,0.1825,0.4818,3.4629
L,2.6793,0.6092,5.1945,0.0646,0.0124,0.0621,2.6056,0.6874,5.2596,0.9897,0.1860,0.4083,0.1773
R,2.9390,0.6128,5.1931,0.0807,0.0155,0.0689,2.8760,0.6747,5.2919,0.6506,0.1223,0.1276,0.5859
L,3.1987,0.6173,5.1915,0.0985,0.0190,0.0758,3.1122,0.6887,5.2622,0.6018,0.1139,0.0789,0.7220
R,3.4583,0.6227,5.1896,0.1182,0.0228,0.0826,3.4065,0.5804,5.3181,-0.2743,-0.0515,-0.4218,3.0047
L,3.7177,0.6291,5.1875,0.1396,0.0269,0.0895,3.7173,0.4789,5.3086,-0.9468,-0.1765,-0.7044,3.6230
R,3.9771,0.6367,5.1852,0.1627,0.0314,0.0963,3.9947,0.5512,5.4123,-0.4056,-0.0748,-0.3390,2.8916
L,4.2363,0.6454,5.1826,0.1876,0.0362,0.1031,4.2711,0.5441,5.4166,-0.4221,-0.0778,-0.3054,0.1545
R,4.4954,0.6555,5.1796,0.2142,0.0413,0.1098,4.5298,0.5759,5.3691,-0.2512,-0.0468,-0.2082,1.2341
L,4.7544,0.6669,5.1763,0.2426,0.0468,0.1166,4.7167,0.6826,5.2305,0.2628,0.0502,0.0077,10.4804
R,5.0132,0.6798,5.1727,0.2726,0.0527,0.1233,4.9699,0.6765,5.1735,0.1748,0.0338,-0.0252,1.9702
L,5.2717,0.6942,5.1687,0.3044,0.0588,0.1301,5.2757,0.6678,5.2406,0.0872,0.0166,-0.0524,3.1818
R,5.5301,0.7103,5.1642,0.3379,0.0653,0.1368,5.5348,0.6736,5.2693,0.0895,0.0170,-0.0468,1.5572
L,5.7883,0.7281,5.1593,0.3730,0.0722,0.1435,5.8325,0.6847,5.3137,0.0952,0.0179,-0.0406,1.9238
R,6.0462,0.7476,5.1539,0.4098,0.0793,0.1501,6.0767,0.6097,5.2391,-0.1973,-0.0376,-0.1255,3.8916
L,6.3038,0.7691,5.1480,0.4482,0.0868,0.1568,6.3341,0.7184,5.2258,0.1655,0.0317,-0.0126,3.5850
R,6.5611,0.7925,5.1416,0.4883,0.0947,0.1634,6.5852,0.7478,5.1843,0.2261,0.0436,0.0051,0.5949
L,6.8181,0.8180,5.1345,0.5300,0.1029,0.1700,6.8351,0.7448,5.1753,0.1854,0.0358,-0.0060,0.2066
R,7.0747,0.8456,5.1268,0.5733,0.1114,0.1765,7.0793,0.7266,5.0945,0.0992,0.0195,-0.0275,3.1519
L,7.3309,0.8754,5.1185,0.6181,0.1202,0.1831,7.3011,0.8081,5.0429,0.3056,0.0605,0.0263,2.9242
R,7.5867,0.9074,5.1095,0.6645,0.1293,0.1896,7.5930,0.8188,5.1471,0.3023,0.0587,0.0225,4.4106
L,7.8420,0.9419,5.0997,0.7125,0.1388,0.1960,7.8449,0.7978,5.1446,0.2136,0.0415,0.0007,0.4799
R,8.0968,0.9788,5.0891,0.7619,0.1486,0.2025,8.0953,0.8137,5.0864,0.2229,0.0438,0.0030,2.5051
L,8.3511,1.0181,5.0777,0.8128,0.1587,0.2089,8.3341,0.8311,5.0660,0.2400,0.0473,0.0069,0.3945
R,8.6047,1.0601,5.0654,0.8652,0.1692,0.2153,8.6027,0.9142,5.1422,0.4184,0.0812,0.0442,6.9572
L,8.8578,1.1047,5.0522,0.9190,0.1799,0.2216,8.8413,0.9719,5.1109,0.5160,0.1006,0.0628,0.8649
R,9.1101,1.1521,5.0380,0.9742,0.1910,0.2279,9.1305,1.0078,5.1629,0.5546,0.1070,0.0661,6.8122
L,9.3617,1.2022,5.0228,1.0308,0.2024,0.2342,9.3686,1.0419,5.1342,0.5856,0.1136,0.0696,0.6688
R,9.6125,1.2552,5.0066,1.0887,0.2141,0.2404,9.6480,1.1090,5.1720,0.6880,0.1322,0.0850,4.6658
L,9.8625,1.3112,4.9892,1.1479,0.2261,0.2466,9.9224,1.2326,5.1693,0.9036,0.1731,0.1220,3.6606
R,10.1117,1.3701,4.9707,1.2084,0.2385,0.2528,10.1726,1.3134,5.0892,1.0030,0.1946,0.1381,5.1053
L,10.3598,1.4321,4.9511,1.2701,0.2511,0.2589,10.3989,1.3956,5.0367,1.1021,0.2154,0.1522,1.4472
R,10.6069,1.4972,4.9301,1.3330,0.2641,0.2650,10.6329,1.4705,4.9284,1.1685,0.2328,0.1629,4.3684
L,10.8530,1.5655,4.9079,1.3970,0.2773,0.2710,10.8586,1.5102,4.8971,1.1688,0.2343,0.1566,1.0323
R,11.0979,1.6370,4.8844,1.4621,0.2909,0.2770,11.1239,1.5591,4.9339,1.1888,0.2364,0.1506,1.7366
L,11.3416,1.7118,4.8595,1.5283,0.3047,0.2829,11.4022,1.6137,4.9688,1.2146,0.2398,0.1462,1.7795
R,11.5840,1.7899,4.8331,1.5955,0.3189,0.2888,11.6343,1.6675,4.9143,1.2320,0.2456,0.1453,0.8635
L,11.8251,1.8714,4.8053,1.6637,0.3333,0.2947,11.8643,1.7366,4.8835,1.2808,0.2565,0.1489,0.3898
R,12.0647,1.9564,4.7760,1.7327,0.3480,0.3005,12.1206,1.8207,4.9188,1.3595,0.2696,0.1539,1.4997
L,12.3029,2.0448,4.7451,1.8027,0.3631,0.3063,12.3620,1.8604,4.9091,1.3409,0.2666,0.1435,0.4385
R,12.5394,2.1368,4.7126,1.8734,0.3784,0.3120,12.6174,1.9212,4.9480,1.3673,0.2696,0.1387,0.8776
L,12.7743,2.2323,4.6784,1.9448,0.3940,0.3177,12.8197,2.0491,4.8652,1.5165,0.3022,0.1641,3.7810
R,13.0075,2.3314,4.6426,2.0170,0.4099,0.3233,13.0868,2.1508,4.9284,1.6130,0.3163,0.1687,3.6032
L,13.2388,2.4341,4.6050,2.0898,0.4260,0.3288,13.2918,2.2882,4.8436,1.7631,0.3491,0.1929,3.1506
R,13.4682,2.5405,4.5656,2.1632,0.4425,0.3344,13.4766,2.4146,4.6736,1.8673,0.3801,0.2163,11.6814
L,13.6955,2.6505,4.5245,2.2370,0.4592,0.3398,13.7254,2.5387,4.6647,1.9736,0.4003,0.2253,1.0638
R,13.9208,2.7643,4.4815,2.3113,0.4762,0.3452,13.9470,2.6433,4.6107,2.0316,0.4150,0.2294,0.3344
L,14.1439,2.8818,4.4366,2.3860,0.4934,0.3506,14.1762,2.8006,4.5671,2.1866,0.4465,0.2490,1.2835
